scenarioID_receiverID,evt_id,mag,evt_depth,rup_top_depth,dip,rake,rup_width,rjb,rrup,rx,vs30,vs30measured,z1pt0,region,PGV,PGA,SA(0.050),SA(0.070),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.350),SA(0.400),SA(0.450),SA(0.500),SA(0.600),SA(0.700),SA(0.750),SA(0.800),SA(0.900),SA(1.000),SA(1.200),SA(1.400),SA(1.600),SA(1.800),SA(2.000),SA(2.500),SA(3.000),SA(3.500),SA(4.000),SA(4.500),SA(5.000),SA(6.000),SA(7.000),SA(8.000),SA(9.000),SA(10.000)
ITA_2012.05.29_11904,ITA_2012.05.29,6.0,10.71699,3.71,60.000000000006025,-270.0,4.079122427407192,10.0811117209198,11.1258276925161,4.36236034847947,300.0,True,458.778710889146,2,9.34534686979877,0.0826744787352977,0.1216982508326064,0.1266837260124517,0.1940108238511785,0.1904558128856245,0.1887625638109793,0.2646777383667797,0.1923245254150082,0.2185356412242549,0.167164456863048,0.1583312360776126,0.1333111654509868,0.1297048569427552,0.0917305758169776,0.070928942594875,0.0677024935422703,0.0860954425412491,0.1094907910388226,0.0785272853197648,0.0677427848830358,0.0533675594308123,0.0623705934225696,0.0618045900953059,0.0576098990363503,0.0354648093718988,0.0197036720127913,0.0166793106625689,0.0126163148104828,0.0100309308887447,0.0055512054945785,0.0054916620501032,0.0057100382556272,0.0049993272823823,0.0042357114727302
ITA_2012.05.29_12576,ITA_2012.05.29,6.0,10.71699,3.71,60.000000000006025,-270.0,4.079122427407192,10.273888575871,11.4798154273933,5.35461047993954,300.0,True,458.778710889146,2,7.098146734736931,0.0752529835965488,0.1091475599971468,0.1186003019135494,0.1658158058112006,0.1820095905707311,0.1937918224440711,0.1674787030669504,0.1913883238817017,0.1742798725073231,0.1631149695671743,0.1623921661972743,0.1538898257694738,0.0906353757687035,0.0625347746404705,0.0635339257165657,0.0600996711050295,0.0641301446423417,0.0740817590850668,0.0565858768589399,0.0448368012748551,0.0421120925948883,0.0366714126449016,0.0420864206280147,0.0401079527410386,0.0362293072513554,0.0212883233587246,0.0133127608967708,0.0111332108974144,0.0078904130588462,0.0049520377619185,0.0037010651530141,0.0040532032543581,0.0044737311593737,0.003742896983143
ITA_2012.05.29_12754,ITA_2012.05.29,6.0,10.71699,3.71,60.000000000006025,-270.0,4.079122427407192,8.16948975431281,8.97421201059159,0.245971529107223,300.0,True,458.778710889146,2,11.2159994606838,0.0902466941294045,0.1240104767662647,0.1406324454437774,0.1842691819835203,0.234135503086165,0.2126435700859366,0.2183900512179358,0.2121353294280371,0.1798136857933331,0.1732638421015515,0.1637437884680854,0.1442318692258539,0.1172791669796097,0.0811851952528893,0.0819015983636222,0.0815635619139244,0.0910606155910385,0.0820644040120751,0.0857424931637862,0.0873134628677728,0.075810966854971,0.0660766635293591,0.0564908464015269,0.04413461271952,0.0325054473320874,0.0238710209742029,0.0178759010035921,0.0138613016729,0.013243146386122,0.0111340506987772,0.0085803311419074,0.0056713031709035,0.0043264505329645,0.0031095422188708
ITA_2012.05.29_12993,ITA_2012.05.29,6.0,10.71699,3.71,60.000000000006025,-270.0,4.079122427407192,10.1430074468353,11.722956356738,7.26332442896327,300.0,True,458.778710889146,2,6.55701322846861,0.0609500788351304,0.0979297950263599,0.1125748411988966,0.150413116344662,0.1691340742558957,0.1944380041597609,0.1627108910731544,0.1698928643635737,0.1380083030557163,0.1377862066304752,0.1175368410658614,0.1010121590342931,0.0859760710216564,0.0681514308148199,0.0611677775203505,0.0495540933919903,0.0625698384959859,0.0613483264462969,0.0628674122103554,0.0470643727921518,0.0420617131391467,0.0467096838967026,0.046169887550596,0.0330640155891834,0.0324049498235048,0.0246818508114372,0.0164787690567827,0.0128327514555234,0.0097933743987868,0.0072706813725272,0.004791540058207,0.0033610519576469,0.0029580263801139,0.0034152575889354
ITA_2012.05.29_13025,ITA_2012.05.29,6.0,10.71699,3.71,60.000000000006025,-270.0,4.079122427407192,9.47552016523968,10.1774948178365,0.108946166601237,300.0,True,458.778710889146,2,7.14854134481607,0.0623085110378168,0.0949819987254047,0.1232680129076188,0.1345944377741257,0.1412516269076535,0.1749812442109782,0.1687889204217464,0.1594103906857336,0.1929738377678677,0.1182187314528865,0.1104082253137962,0.1148581534866024,0.0922762789355462,0.0751479970269616,0.0746052911415579,0.0680373265534749,0.0548966657901113,0.056124683031984,0.0536944691625637,0.0508819797429171,0.0508174772414709,0.0543304744266757,0.0506995780964162,0.0299525580087469,0.0232691249539353,0.0172183348958646,0.0139091798604404,0.0119385899280322,0.0126769227898965,0.0111665702046676,0.008589906019434,0.005673527845655,0.0040576578841971,0.0028775130696344
ITA_2012.05.29_13034,ITA_2012.05.29,6.0,10.71699,3.71,60.000000000006025,-270.0,4.079122427407192,9.74666516602869,11.2013630686608,6.272070532574941,300.0,True,458.778710889146,2,7.080167601515649,0.071265421667996,0.0931287674102406,0.1019213210856883,0.1245523975670947,0.1781817159993361,0.1735072999432721,0.1585706741090117,0.147598332086375,0.1331375612799386,0.142751652799017,0.1390347904912064,0.1101651976588794,0.0855745903326635,0.0613851941324924,0.0575490803005248,0.0583778578199571,0.0623436395133837,0.0756223523190182,0.0645902201112859,0.0474747549860589,0.0465834949119506,0.0394418050202471,0.0426932498468615,0.0327832680834288,0.0345187214073713,0.0241851639917016,0.0158335744572747,0.0128137746221384,0.0095051730453273,0.0061170192409665,0.0042171537027907,0.0033227042704565,0.0042698051102669,0.0040520887648978
ITA_2012.05.29_13040,ITA_2012.05.29,6.0,10.71699,3.71,60.000000000006025,-270.0,4.079122427407192,10.557171244101902,11.9063551682722,6.34586437632787,300.0,True,458.778710889146,2,6.02003100326073,0.0764673481108418,0.1052443366460534,0.1168315646809053,0.1603931958424905,0.195061217482957,0.1572283735114866,0.1523122689164404,0.1700240763493456,0.1515149270774974,0.1308460921342538,0.125947418392345,0.1133467851086711,0.0880693053237384,0.0635700341932136,0.0560202644088186,0.0621381994194035,0.0591430538518262,0.0557722008673349,0.0521524879116724,0.0370511492305633,0.0356843292135591,0.0379797770059201,0.0346768383889138,0.0260593944318478,0.0285384518194282,0.0216077089306037,0.0137065112050993,0.0109979650029203,0.0089875016112313,0.0061705662060026,0.0035467508378201,0.0028486714666003,0.0034010172173862,0.0035785450694816
ITA_2012.05.29_13090,ITA_2012.05.29,6.0,10.71699,3.71,60.000000000006025,-270.0,4.079122427407192,8.27552009365623,9.80535749699854,5.41670705476944,300.0,True,458.778710889146,2,14.5867085629523,0.1123026542881442,0.1513576920742373,0.1794511212487649,0.2221751937396623,0.2454096106759331,0.2655472076331591,0.2390402738384413,0.2597426206686391,0.2510910127946036,0.2102025894805637,0.1908668091765047,0.1833276905963198,0.1376828293892726,0.1237669406155914,0.1079295943097071,0.09986021542025,0.1131274795719884,0.1338016774884053,0.1002788014929486,0.0855612211403494,0.0647843050833926,0.0741669950926159,0.0784072508523506,0.0823206652829372,0.0559585307038112,0.0312134768503401,0.0258185502760019,0.0185320687143302,0.0150792858464565,0.0096754593564313,0.0073813547219196,0.0070527591833374,0.0060885989078151,0.0054042296339788
ITA_2012.05.29_13267,ITA_2012.05.29,6.0,10.71699,3.71,60.000000000006025,-270.0,4.079122427407192,8.84833737892287,10.085345816331898,4.499247002134029,300.0,True,458.778710889146,2,10.589615965463,0.1030035854389307,0.1304548079053581,0.1397064544255235,0.2011434357445101,0.2005112803552946,0.219091082684458,0.2413893075303748,0.2176048323172072,0.2206746300363427,0.1911247669500125,0.1763177827889218,0.1536642388546965,0.1313835895701539,0.1111080886934784,0.0992517304640433,0.1081557651702345,0.1039972272174769,0.1082748113285229,0.0968221340765198,0.072249432497215,0.0729586637090146,0.0887882437178948,0.0783889777098566,0.0776485358138274,0.0404419340608368,0.0277162756299716,0.0232312989716922,0.0184315386802104,0.014144824817825,0.0086393851028011,0.0072936307013188,0.0071241365683339,0.0059940987103286,0.005254798941279
ITA_2012.05.29_13282,ITA_2012.05.29,6.0,10.71699,3.71,60.000000000006025,-270.0,4.079122427407192,9.45220774011798,10.1557938895771,1.10113561293881,300.0,True,458.778710889146,2,6.60114350116348,0.0574248239527695,0.0783554034676301,0.0978348268021056,0.1168798972921089,0.1349322691596518,0.1516784054844518,0.1467980476460259,0.1379577148248719,0.1357656480515028,0.1144817226594045,0.0959380943701226,0.0879870130103778,0.0778907452858705,0.0704601797437015,0.0645357830606331,0.0575959972381327,0.0549537331000209,0.0588975629780455,0.0475084931200421,0.0564523619564083,0.0498118658704969,0.0373075806618511,0.0395322627633528,0.0317688541773723,0.023007733169711,0.0179047750098069,0.0121353997205554,0.0110369794901578,0.0115622483499678,0.0125419095913667,0.0101118047421732,0.0071157472784084,0.004975615535826,0.0036963807551752
