evt_id,mag,evt_country,evt_longitude,evt_latitude,evt_depth,dip,SoF,rake,rup_width,rup_top_depth,stn_id,stn_country,stn_longitude,stn_latitude,vs30,vs30measured,z1pt0,z2pt5,region,repi,rhypo,rjb,rrup,rx,ry0,PGA,PGV,SA(0.010),SA(0.025),SA(0.040),SA(0.050),SA(0.070),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.350),SA(0.400),SA(0.450),SA(0.500),SA(0.600),SA(0.700),SA(0.750),SA(0.800),SA(0.900),SA(1.000),SA(1.200),SA(1.400),SA(1.600),SA(1.800),SA(2.000),SA(2.500),SA(3.000),SA(3.500),SA(4.000),SA(4.500),SA(5.000),SA(6.000),SA(7.000),SA(8.000),SA(9.000),SA(10.000)
AL-2016-0011,3.9,GR,21.182,40.7425,10.38,90.0,U,0.0,0.7361297513183839,10.38,AC.TIR1.0.HN,AL,19.8078,41.3357,311.0,True,449.91856295667475,1.686536315706763,0,133.0,133.40443920649716,133.0,133.40443920649716,-133.0,133.0,0.00014605446304293517,0.01124495,0.00014622016692754407,0.00014722203810679487,0.00016244946031519428,0.0001608449368540735,0.00019676393059811455,0.00017392891558279332,0.00023862430085707149,0.0003755140644358675,0.00042223083315913186,0.0005143871760489056,0.00048230537441430055,0.0005449863103098408,0.00037851916811551344,0.00039591654642512987,0.00030868441312782653,0.00022758995171643734,0.0002076320659960333,0.00018571836457913763,0.00014374939454349858,9.839802582941168e-05,9.399998980283787e-05,6.565442837258391e-05,5.794333437004482e-05,4.467376729056304e-05,3.5886362825225744e-05,1.996808288253379e-05,1.1188836146900318e-05,7.711094002539093e-06,5.741512137172225e-06,4.145656263861767e-06,3.2391285505243893e-06,1.8706693927080095e-06,1.4694110629011947e-06,1.2695466851575207e-06,1.0146176319130387e-06,8.489137473041253e-07
AL-2016-0011,3.9,GR,21.182,40.7425,10.38,90.0,U,0.0,0.7361297513183839,10.38,AC.TPE.0.HN,AL,20.0155,40.2948,686.0,True,69.90273670891227,0.6822739564526507,0,110.6,111.08602252308793,110.6,111.08602252308793,-110.6,110.6,5.834357298363866e-05,0.00338673,5.855924296268349e-05,6.001998643777437e-05,7.390342267746886e-05,8.729484584440151e-05,0.00010872316234391969,0.00014984831721331953,0.000137908460075561,0.00016094130003619994,0.0001530410486761534,0.0001245048003140726,0.0001368367383357212,0.00012651211167931964,8.33725074311819e-05,8.410109466535464e-05,8.176084595657029e-05,8.145595080888989e-05,9.916128341482566e-05,0.00010287865886923669,9.356202168936386e-05,6.684953577419405e-05,4.729137880927738e-05,1.9504112005628837e-05,1.754166815375281e-05,1.2436968791585304e-05,9.79080521890758e-06,5.121014821575157e-06,3.3895366919386338e-06,2.68746207930333e-06,1.7595203254934153e-06,1.3016677458663256e-06,1.1619666246883495e-06,7.765138961826924e-07,6.062212886153784e-07,4.6448073501144633e-07,3.793344312277893e-07,3.201908908750695e-07
AL-2016-0011,3.9,GR,21.182,40.7425,10.38,90.0,U,0.0,0.7361297513183839,10.38,AC.VLO.0.HN,AL,19.4965,40.4704,375.0,True,385.62465423200405,1.3615130611475033,0,145.8,146.16902681484885,145.8,146.16902681484885,-145.8,145.8,0.00014542886714627318,0.00817723,0.00014570928910484211,0.00014746218127495116,0.0001676928410823268,0.000165857861757073,0.00016167090698658562,0.00019158020322944123,0.0003575792956820117,0.0005077738065496373,0.0003547964901367949,0.0004304420979641366,0.0004394359949626019,0.0003751821468085432,0.00028712863210168614,0.0003010202260710844,0.0002705786379650543,0.00029353856821646534,0.000268654433471165,0.00020722061050409672,0.0001970346652526602,0.00015537874809440534,0.00010761218152988024,6.642584368770172e-05,5.174702880188444e-05,3.923664044296472e-05,2.7481861797861653e-05,1.5643976281400885e-05,8.245935156246017e-06,6.569521702110303e-06,5.240321618493574e-06,3.889707494404308e-06,2.503403302860814e-06,1.734537278275456e-06,1.4092478063354968e-06,1.1140399626783865e-06,8.708376458831508e-07,7.622378692010014e-07
AL-2016-0012,4.2,MK,21.0831,41.2111,13.17,90.0,SS,0.0,1.0398109114510292,13.17,AC.DURR.0.HN,AL,19.4573,41.3199,202.0,True,508.7982024505885,2.763068269687714,0,136.8,137.43248851708972,136.8,137.43248851708972,-136.8,136.8,0.0005056844080292454,0.04320055,0.0005058281880152754,0.0005079864173800432,0.0005142153538670187,0.0005153987345321797,0.0005136081128621904,0.0005428240020802211,0.0006924352352740232,0.0008294330887713949,0.001118322770772894,0.0012437682592934386,0.0016569011844003814,0.002045576216139049,0.002613833470145259,0.0015659883854323342,0.0008087741481545686,0.0005935992413311376,0.0005970831017727766,0.0005420158769814361,0.0005155644384167887,0.0005892221094869298,0.0006050705388690328,0.00036123956702849595,0.0003636257029668643,0.00032070431798830387,0.00024042053096623211,0.00016435378034293058,7.898415870863139e-05,5.0308209225372576e-05,3.54494144279647e-05,2.6708916908424386e-05,1.9690720072603797e-05,1.3567834071777825e-05,1.0064599022092153e-05,7.934921711287749e-06,6.494572560456425e-06,5.457521171857872e-06
AL-2016-0012,4.2,MK,21.0831,41.2111,13.17,90.0,SS,0.0,1.0398109114510292,13.17,AC.KBN.0.HN,AL,20.7874,40.6232,742.0,True,46.967732810623325,0.6236939259815416,0,69.9,71.12987347099671,69.9,71.12987347099671,-69.9,69.9,0.0003016922190554369,0.01339245,0.00030174065557555336,0.00030348691959027806,0.00032127841821621045,0.000380525969622654,0.00043220977601933383,0.0008926580432665589,0.001231368510143627,0.0011025783524445149,0.0006699132731360862,0.0008021867814187312,0.0008235314811887852,0.0006887632371910897,0.0004412026533015862,0.00036815324295248633,0.0002357313659608531,0.00013912549137575013,0.00011116742210642779,0.00010079435892990981,0.00010021668969525782,0.00010623811393289248,0.00010625035052744821,9.033207058475626e-05,5.536855093227555e-05,4.4132297981471756e-05,3.4003456837962e-05,2.0741537630077553e-05,1.2719430182580189e-05,8.308137845237672e-06,5.737433272320314e-06,4.409762763023051e-06,3.3823986784477883e-06,2.3907246613267525e-06,1.735556994488434e-06,1.377126745626692e-06,1.0875273411409604e-06,9.264121794904478e-07
AL-2016-0012,4.2,MK,21.0831,41.2111,13.17,90.0,SS,0.0,1.0398109114510292,13.17,AC.KKS.0.HN,AL,20.4113,42.0756,745.0,True,45.973114304344804,0.6208215820444555,0,111.1,111.87787493512735,111.1,111.87787493512735,-111.1,111.1,0.00010716554582859591,0.00527887,0.00010727567517959753,0.00011039141806835159,0.00011857820968424488,0.00013212615928986964,0.00020281033788296717,0.0003562883349563816,0.00035064675500808126,0.00022968597839221345,0.0001830772995875248,0.00014392580544834372,0.0001707183390862323,0.00016959053295467871,0.0001597737249723402,0.00013469074556550912,0.00011343323153166475,8.900694936599145e-05,8.428158443505173e-05,7.128581115875452e-05,5.9088985535325516e-05,5.194842275394758e-05,4.752999240311421e-05,3.249376698464817e-05,3.1797300811184244e-05,3.0127005654326404e-05,2.7009223333146388e-05,1.5866274415830076e-05,9.4017834836565e-06,6.6103103506294206e-06,5.295896152100871e-06,4.1976617907236424e-06,3.16978784804189e-06,1.7182218188678093e-06,1.2032651313139555e-06,8.601306256468825e-07,6.837197208017009e-07,5.486073225821254e-07
AL-2016-0012,4.2,MK,21.0831,41.2111,13.17,90.0,SS,0.0,1.0398109114510292,13.17,AC.LACI.0.HN,AL,19.7199,41.6359,1490.0,True,0.5293118775193807,0.28092377202371094,0,123.3,124.00136652472827,123.3,124.00136652472827,-123.3,123.3,3.632993937787114e-05,0.002885555,3.646811092472965e-05,3.740981884741476e-05,5.159764037668317e-05,5.889167044811429e-05,7.928905385631179e-05,9.147058373654612e-05,0.00010269256066036823,8.981201531613752e-05,9.190447298516824e-05,6.628665242463023e-05,8.007270576598533e-05,8.481642558875865e-05,7.81750138936334e-05,7.947668163949972e-05,4.8513508690531424e-05,3.5122595381705275e-05,3.159080827805622e-05,2.7944812958553634e-05,3.006378324912177e-05,3.479016789627447e-05,2.8482203402793004e-05,3.014230139752107e-05,2.8821259043608166e-05,2.743954357502307e-05,2.382261016759036e-05,1.3749853415794384e-05,6.919794221268222e-06,4.590252532720144e-06,2.5217581946944166e-06,1.97366073021878e-06,1.4301519887015444e-06,9.044882809114224e-07,6.281451871944038e-07,4.7671732956718146e-07,4.0686676897819337e-07,3.441542218800508e-07
AL-2016-0012,4.2,MK,21.0831,41.2111,13.17,90.0,SS,0.0,1.0398109114510292,13.17,AC.POGR.0.HN,AL,20.679,40.8996,352.0,True,411.04458572292157,1.463756292947018,0,48.5,50.25633193936859,48.5,50.25633193936859,-48.5,48.5,0.0027265666664967143,0.08593515,0.0027402018018385485,0.002835677830859672,0.0031478588508818,0.0035983184879647993,0.006918172872489587,0.010073475651726125,0.009343649462354628,0.006216597920798642,0.004619426613573442,0.003373833062258774,0.0028112913176263046,0.003938862914450909,0.0027512708213304235,0.002010543865642192,0.002696195948667486,0.0016076030040839634,0.0011999204621353878,0.0008459076239082663,0.0004996772598185926,0.00043466780195071717,0.00048336893842443654,0.0003983429611539109,0.0003376392549953348,0.00023602045550723234,0.00014503831583670266,7.568129789479589e-05,5.706688828499029e-05,3.282109588901409e-05,2.3505988283460713e-05,2.000275323377504e-05,1.591318136162706e-05,1.2041828759056355e-05,9.644985800451735e-06,7.98437794761718e-06,6.8570816741700785e-06,5.984204595860972e-06
AL-2016-0012,4.2,MK,21.0831,41.2111,13.17,90.0,SS,0.0,1.0398109114510292,13.17,AC.TPE.0.HN,AL,20.0155,40.2948,686.0,True,69.90273670891227,0.6822739564526507,0,135.9,136.536657715062,135.9,136.536657715062,-135.9,135.9,0.00010613359302106224,0.00712612,0.00010613971131834011,0.00010682903947831319,0.00010761320124609322,0.00011107717722157924,0.00011769105657895408,0.00015015372221910644,0.00020014734899277532,0.00026081179607715174,0.0002082336985616903,0.00031211779761692324,0.00032653964401707007,0.00035184900042318227,0.00023389944578423825,0.00014413382755579124,0.00010697230960623658,8.870154436020455e-05,7.015647545288146e-05,6.82694906007658e-05,8.259089495393432e-05,0.00010261608194439488,0.000109055079971244,6.0177532592679455e-05,4.252624494603152e-05,2.9070579657681268e-05,2.2568869083733996e-05,1.3271096653801247e-05,8.22961969683837e-06,5.241341334706551e-06,3.759693677249622e-06,2.8888560313664708e-06,2.2367475131670857e-06,1.4479970224286581e-06,1.0982343613772288e-06,9.121361525087569e-07,8.137335379563867e-07,6.760718492043664e-07
AM-1990-0013,5.4,GE,43.7234,41.3679,28.3,90.0,SS,0.0,4.139561798684224,28.3,A.SAKH.0.HN,GE,43.48,41.4,313.904972,False,447.4643237242845,1.668693013188098,0,20.7,35.06251559714448,20.7,35.06251559714448,-20.7,20.7,0.023830296788403788,1.51843,0.023913415896356045,0.02538048161196739,0.027188183528524014,0.02954637924265677,0.03388680130319732,0.04019389903789775,0.04424594535340815,0.06810664192155323,0.06549005011905187,0.08991913650431085,0.07888468539205538,0.05632769600220259,0.037912997812708724,0.027018604722305786,0.017517908765990426,0.013206395660087798,0.010449490906680672,0.011160895922664723,0.01035057843402181,0.00972487546715749,0.007780883380155303,0.005336129055283914,0.003729311232683944,0.00286003375260665,0.0022947234784559457,0.001144554970351751,0.0008643298170119256,0.0007022413362361255,0.0005199680828825338,0.0004526943451637409,0.0003524021964687228,0.00022414738978142383,0.00016103460406968742,0.00013034063620094528,0.00010879199318829571,9.493048084718023e-05
